ID,GEN_BANK_ID,M27_Root,M793_Root,M9_Root
MDP0000282673,#N/A,0.184764159,0,0
MDP0000282680,103416994,5.372237877,7.367798613,11.30620434
MDP0000282682,103416995,2.000301337,2.341289636,2.737558701
MDP0000282686,#N/A,1.236094826,1.106868933,1.117674557
MDP0000282687,#N/A,3.411046906,3.430819484,4.978593868
MDP0000282696,103435491,8.326657567,7.175061908,5.521267816
MDP0000282702,#N/A,0.167378058,0.446735851,0.0820831
MDP0000282709,#N/A,1.119092868,1.264289679,1.105748829
MDP0000282711,#N/A,11.30850343,41.0352792,28.50784618
MDP0000282719,#N/A,0.416452549,0,0.326768912
MDP0000282722,#N/A,0.1320076,0.093955012,0.060421421
MDP0000282726,103452231,0.114320307,0.062768264,0.01345519
MDP0000282729,#N/A,1.279384005,0.995142619,1.591846046
MDP0000282733,#N/A,6.578614057,2.88163394,1.522882922
MDP0000282740,103449984,0.242053647,0.182979687,0.235344397
MDP0000282741,#N/A,0,0.794830904,0
MDP0000282743,103415661,0.372149086,1.163550001,0.766516436
MDP0000282752,#N/A,0,0,0
MDP0000282755,103451064,3.079026948,2.168992235,3.170939889
MDP0000282758,#N/A,0.386940163,0.606147972,0.5789213
MDP0000282760,103455321,1.096614862,1.212568737,1.26917455
MDP0000282761,103406912,0.056331746,0.051548816,0
MDP0000282766,#N/A,0.084720862,0.077527512,0.045324618
MDP0000282768,#N/A,0.014685984,0.053756196,0.190135059
MDP0000282769,103443261,0,0,0
MDP0000282770,103448004,0.059754538,0.093738842,0.854000742
MDP0000282772,#N/A,0,0,0.213489022
MDP0000282773,103441088,7.191096253,3.888927814,6.147596812
MDP0000282774,#N/A,0,0,0
MDP0000282776,#N/A,0.373739467,0.185660708,0.213656596
MDP0000282778,103433436,0.817786358,0.55906222,0.9342032
MDP0000282781,103401966,1.162647584,2.268676992,1.972112669
MDP0000282782,#N/A,12.83512747,7.523160281,9.016706189
MDP0000282786,103401529,0.532880143,0.296405691,0.307443868
MDP0000282789,#N/A,6.990133639,5.440478657,9.223316052
MDP0000282792,#N/A,0.099451355,0.022751823,0.014631444
MDP0000282795,#N/A,1.957787996,1.732496735,2.557479193
MDP0000282796,#N/A,4.832584783,8.622229843,8.414299473
MDP0000282804,#N/A,25.94241399,16.67636127,28.09229441
MDP0000282805,#N/A,8.003597053,5.239294431,7.267878208
MDP0000282806,103403646,4.437124552,2.953771542,3.577191846
MDP0000282810,#N/A,0.215938359,0.687661204,0.345648893
MDP0000282814,#N/A,58.82289167,51.90034308,61.58946916
MDP0000282815,103454018,0.050479097,0.013857928,0.029706265
MDP0000282820,#N/A,0.237972885,0.102478798,0.074140845
MDP0000282827,103405918,13.61398179,10.8962945,10.6473586
MDP0000282828,103441323,14.51838517,18.5158311,15.43542095
MDP0000282829,103402195,1.017995119,2.20187085,2.06953644
MDP0000282830,103450230,0,0,0.033803681
MDP0000282836,103433521,1.258822477,0.932162217,1.38412627
MDP0000282838,#N/A,3.504752347,2.703619553,2.883643855
MDP0000282839,#N/A,1.563523604,1.912151001,2.201390562
MDP0000282848,#N/A,0.281658729,0.180420856,0.430956101
MDP0000282853,103405059,0,0,0
MDP0000282855,#N/A,0.533828506,0.505494419,4.092156218
MDP0000282861,#N/A,0,0.024989707,0
MDP0000282863,#N/A,0,0,0
MDP0000282867,103416741,8.78866213,8.344039623,11.41536187
MDP0000282873,#N/A,0,0.004517614,0
MDP0000282879,103440272,2.142772943,1.476328347,1.715536786
MDP0000282880,#N/A,13.1532373,11.37486481,12.10482756
MDP0000282885,#N/A,0.057726096,0.052824777,0.033971025
MDP0000282889,103445183,4.570040897,7.286190813,16.63550822
MDP0000282893,103442864,0.242369613,1.527892617,0.169044425
MDP0000282894,103442892,8.955876458,6.754382888,7.668626291
MDP0000282901,#N/A,4.522449569,15.29934025,8.123298509
MDP0000282906,#N/A,3.096009518,2.515403137,2.741453325
MDP0000282912,103405037,8.431953492,6.312407252,9.854362466
MDP0000282914,#N/A,0.337990474,0.773232238,0.696159855
MDP0000282918,#N/A,0.44848736,0.586296972,0.942602629
MDP0000282919,#N/A,1.042868199,0.573582098,0.864923087
MDP0000282920,#N/A,7.343980521,13.64606202,9.105541401
MDP0000282921,103447203,0.631619699,0.400147683,0.432968808
MDP0000282924,#N/A,0.72879196,0.69073112,1.026258613
MDP0000282937,#N/A,0,0.051055526,0.1641662
MDP0000282938,103403801,1.011572437,0.869581366,1.010200421
MDP0000282945,#N/A,0.343859903,0.902036717,0.467669268
MDP0000282946,103437569,1.537088498,1.503585234,2.744858857
MDP0000282949,103424262,0,0,0
MDP0000282950,#N/A,4.694556003,3.797072389,4.063817009
MDP0000282956,103443891,2.839449195,1.510514198,2.067556022
MDP0000282966,#N/A,14.67141848,36.95352922,35.88565473
MDP0000282967,#N/A,3.052002249,1.785693063,4.628448226
MDP0000282970,103447772,0.051053728,0.140156807,0.084124396
MDP0000282973,#N/A,8.885655821,7.49849398,7.488977891
MDP0000282976,103447774,7.574344389,8.876638564,9.499129451
MDP0000282977,#N/A,0.105458268,0.179222046,0.159584817
MDP0000282979,#N/A,0.711684168,0.250483683,1.159799517
MDP0000282981,103446740,0.292306802,0.166276363,0.204562652
MDP0000282982,103428168,0.422105751,0.57939936,0.838361868
MDP0000282985,#N/A,7.344978046,4.556841945,6.813306238
MDP0000282990,#N/A,0.100276044,0.131088512,0.168603124
